9.614-9.773: hello
107.364-107.523: with
107.603-107.683: like
107.763-107.923: a
107.923-108.423: science
108.481-108.960: station
108.960-109.360: every
109.360-109.599: sick
110.318-110.477: you
110.477-110.557: know
110.717-110.956: and
111.356-111.595: and
111.595-111.675: and
111.755-111.914: like
112.154-112.314: and
112.314-112.473: and
112.553-112.633: i
112.793-112.872: i
113.032-113.112: i
113.112-113.272: think
113.272-113.351: we
113.351-113.671: wanna
113.671-113.751: become
113.751-113.910: a
113.910-114.150: multi
114.150-114.549: tenant
114.549-114.868: species
114.868-115.028: and
115.028-115.188: be
115.188-115.268: out
115.268-115.587: there
115.587-115.747: among
115.747-115.986: the
115.986-116.226: stars
116.640-116.800: we
116.800-117.040: wanna
117.040-117.280: make
117.360-117.680: star
117.680-117.920: fleet
117.920-118.240: real
119.040-119.120: you
119.120-119.280: know
120.320-120.640: so
120.640-120.720: that
120.800-120.960: like
121.200-121.280: i
121.280-121.360: mean
121.520-121.600: like
121.600-121.680: it
121.760-121.840: like
121.920-122.080: like
122.240-122.400: if
122.400-122.480: you
122.480-122.560: should
122.560-122.640: be
122.640-122.720: able
122.720-122.800: to
122.800-122.880: go
122.880-123.040: to
123.120-123.280: mars
123.440-123.600: if
123.600-123.680: you
123.680-123.920: wanna
123.920-124.000: go
124.160-124.240: i
124.240-124.400: mean
124.480-124.560: go
124.560-124.640: to
124.720-124.880: mars
125.040-125.200: they'd
125.200-125.280: be
125.360-125.440: like
126.960-127.280: amazing
127.440-127.600: you
127.600-127.760: know
129.375-129.455: well
129.615-129.695: i'll
129.695-129.775: take
129.775-129.855: it
130.095-130.335: take
130.335-130.495: six
130.495-130.655: months
132.975-133.475: so
134.175-134.335: mars
134.335-134.575: is
134.575-134.815: far
136.255-136.575: but
136.575-136.735: we
136.735-136.895: can
136.895-136.975: do
136.975-137.055: it
137.295-137.455: we
137.455-137.775: can
137.775-138.015: create
138.015-138.335: a
138.335-138.495: based
138.495-138.575: on
138.735-139.055: mars
139.055-139.375: that
139.375-139.535: and
139.535-139.695: and
139.855-140.335: ultimately
140.335-140.495: build
140.495-140.655: the
140.655-140.895: city
140.895-140.975: on
141.055-141.455: mars
141.455-141.615: and
141.615-141.855: make
141.855-142.095: life
142.095-142.415: multi
142.415-142.735: planetary
142.895-142.975: i
142.975-143.135: think
143.135-143.295: that
143.295-143.375: would
143.375-143.615: be
143.615-143.855: super
143.855-144.015: cool
145.069-145.228: yeah
145.627-145.787: i
145.787-145.947: mean
149.699-149.779: i
149.779-150.098: mean
150.098-150.598: the
151.136-151.216: you
151.216-151.296: know
151.775-151.935: a
151.935-152.174: life
152.174-152.334: can't
152.334-152.493: just
152.493-152.733: be
152.733-152.893: about
152.972-153.052: like
153.212-153.292: you
153.292-153.451: know
153.691-153.930: solving
153.930-154.090: one
154.090-154.330: was
154.330-154.569: real
154.569-154.888: problem
154.888-155.128: after
155.128-155.288: another
155.527-155.607: there
155.607-155.767: have
155.767-155.846: to
155.846-156.006: be
156.006-156.166: things
156.166-156.645: that
156.645-156.884: inspire
156.884-157.124: you
157.124-157.284: that
157.284-157.683: it
157.683-157.842: excite
157.842-158.082: you
158.082-158.242: about
158.242-158.561: the
158.561-158.721: future
159.135-159.295: that
159.295-159.455: you
159.455-159.615: look
159.615-159.695: forward
159.695-159.855: to
159.855-159.935: you
159.935-160.095: like
160.175-160.255: wow
160.495-160.575: that's
160.575-160.735: gonna
160.735-160.895: be
160.895-161.055: cool
161.215-161.455: and
161.535-161.615: i
161.615-161.775: think
161.775-161.935: being
161.935-162.095: a
162.095-162.255: space
162.255-162.755: bearing
162.975-163.475: civilization
163.535-163.775: and
163.775-163.935: and
164.015-164.175: you
164.175-164.335: know
165.295-165.535: having
165.535-165.695: a
165.695-165.935: city
165.935-166.015: on
166.095-166.335: mars
166.335-166.495: and
166.495-166.735: going
166.735-166.895: out
166.895-167.215: there
167.215-167.535: exploring
167.535-167.775: the
167.775-168.015: the
168.015-168.175: the
168.175-168.335: moons
168.335-168.415: of
168.495-168.975: jupiter
168.975-169.375: ultimately
169.375-169.535: getting
169.535-169.775: to
169.775-170.015: other
170.015-170.335: star
170.335-170.655: systems
171.150-171.389: would
171.389-171.889: be
172.029-172.529: incredibly
172.668-172.987: exciting
173.387-173.706: and
173.706-173.866: something
173.866-173.946: you
174.106-174.265: you're
174.265-174.345: like
174.505-174.745: wow
175.064-175.304: look
175.304-175.384: you
175.384-175.544: can
175.544-175.703: really
175.703-175.863: look
175.863-176.023: forward
176.023-176.103: to
176.103-176.183: that
176.342-176.422: that'd
176.422-176.582: be
176.582-176.742: like
177.301-177.381: i
177.381-177.461: don't
177.461-177.541: know
177.860-178.100: incredible
178.419-178.919: so
179.059-179.138: you
179.138-179.298: know
179.458-179.698: got
179.698-179.857: there
179.857-180.017: and
180.017-180.177: find
180.257-180.337: like
180.496-180.896: maybe
180.896-181.396: alien
181.615-181.855: civilizations
183.372-183.452: you
183.452-183.612: know
183.772-183.932: like
183.932-184.011: in
184.091-184.331: star
184.331-184.411: trek
184.571-184.651: you
184.651-184.810: know
185.783-186.283: go
186.580-186.740: go
186.740-186.899: where
186.899-187.059: you've
187.059-187.298: never
187.298-187.537: gone
187.537-187.697: before
189.770-190.009: so
190.169-190.328: yeah
190.568-190.807: let's
190.807-190.966: make
190.966-191.206: stuff
191.206-191.365: eat
191.365-191.604: real
193.359-193.598: yeah
198.560-198.720: yeah
199.200-199.280: meanwhile
199.520-199.600: back
199.600-199.760: here
199.760-200.000: on
200.000-200.160: earth
203.200-203.700: we
206.080-206.580: would
206.800-207.120: we
207.120-207.280: we
207.280-207.440: need
207.440-207.940: to
210.175-210.255: i
210.255-210.415: think
210.415-210.495: we
210.495-210.575: need
210.974-211.054: we
211.054-211.214: do
211.214-211.454: we
211.454-211.774: definitely
211.774-211.854: need
211.854-212.014: to
212.014-212.333: get
212.573-212.893: president
212.973-213.373: trump
213.373-213.613: reelected
213.852-214.012: that
214.012-214.092: is
215.451-215.611: that
215.611-215.771: is
218.410-218.910: so
221.528-221.767: that
221.767-221.927: that
221.927-222.327: is
222.327-222.487: that
222.487-222.567: is
222.727-222.887: i
222.887-222.967: think
223.926-224.406: incredibly
224.406-224.646: important
226.019-226.418: and
227.376-227.456: i
227.456-227.535: mean
227.695-227.855: i
227.855-228.094: think
228.094-228.254: we
228.254-228.573: we
228.573-228.732: we
228.732-228.812: don't
229.211-229.291: i
229.291-229.451: think
229.610-229.850: america
229.850-230.009: is
230.009-230.089: great
230.328-230.408: but
230.408-230.568: we
230.568-230.727: wanna
230.727-231.047: be
231.047-231.206: we
231.206-231.525: wanna
231.525-231.765: be
231.765-232.004: greater
232.643-232.882: and
232.882-232.962: we
232.962-233.462: wanna
233.520-233.600: do
233.840-234.079: we
234.079-234.159: we
234.159-234.558: wanna
234.558-234.637: we
234.637-234.797: wanna
234.797-235.036: do
235.036-235.356: amazing
235.356-235.595: things
236.473-236.712: and
236.712-236.952: we
236.952-237.111: we
237.111-237.271: don't
237.271-237.670: want
238.069-238.149: you
238.228-238.308: like
238.468-238.627: the
238.627-238.867: apollo
238.867-239.186: program
239.186-239.266: to
239.266-239.425: be
239.425-239.585: our
239.585-239.745: high
239.745-239.984: watermark
240.224-240.303: we
240.303-240.463: want
240.463-240.623: we
240.623-241.022: wanna
241.181-241.261: you
241.261-241.341: know
241.995-242.155: do
242.155-242.634: great
242.634-242.794: things
242.954-243.274: america
244.233-244.553: and
244.553-244.633: and
244.793-244.873: i
244.873-244.953: think
244.953-245.033: we
245.033-245.193: also
245.193-245.693: wanna
246.152-246.472: preserve
246.472-246.632: what
246.632-246.951: has
246.951-247.111: made
247.271-247.591: america
247.591-247.751: great
248.550-248.710: you
248.710-248.870: know
249.030-249.510: so
249.590-249.750: you
249.750-249.830: know
250.229-250.549: things
250.549-250.869: like
251.109-251.428: freedom
251.428-251.668: of
251.668-251.908: speech
253.827-253.987: you
253.987-254.067: know
254.786-255.026: like
256.800-256.960: you
256.960-257.040: know
257.200-257.440: the
257.440-257.600: the
257.600-257.840: rights
257.840-258.080: bear
258.080-258.160: arms
258.400-258.560: these
258.560-258.720: things
258.720-258.800: in
258.800-259.300: the
259.520-260.020: constitution
260.240-260.400: that
260.400-260.720: are
260.720-261.220: actually
261.520-261.680: you
261.680-261.840: know
262.400-262.720: important
264.080-264.160: you
264.160-264.240: have
264.240-264.320: to
264.320-264.400: say
264.640-264.720: why
264.720-264.880: did
264.880-265.120: they
265.120-265.280: why
265.280-265.360: did
265.360-265.520: they
265.840-265.920: why
265.920-266.080: did
266.080-266.400: they
266.400-266.560: add
266.560-266.800: these
266.800-267.120: amendments
267.120-267.600: to
267.600-267.840: constitution
267.840-268.160: was
268.160-268.660: because
268.894-269.134: it
269.134-269.293: in
269.293-269.453: the
269.453-269.692: places
269.692-269.932: that
269.932-270.432: people
270.650-270.889: came
270.889-271.128: from
271.687-271.846: if
271.846-272.165: you
272.165-272.325: said
272.325-272.484: what
272.484-272.644: you
272.644-272.883: wanna
272.883-273.123: say
273.123-273.282: you'd
273.282-273.761: be
274.239-274.399: put
274.399-274.559: in
274.559-274.878: prison
274.878-275.037: or
275.037-275.277: you'd
275.277-275.596: already
275.596-275.835: be
275.835-276.074: killed
276.952-277.351: and
277.351-277.670: and
278.468-278.707: and
278.707-278.867: and
278.867-279.026: they
279.026-279.345: took
279.345-279.584: everyone's
279.584-279.824: guns
279.824-280.063: away
280.063-280.143: so
280.143-280.382: that
280.542-280.622: you
280.622-280.701: know
280.781-280.941: they
280.941-281.100: couldn't
281.180-281.499: rebel
281.499-281.738: against
281.738-281.898: the
281.898-282.058: press
282.058-282.297: of
282.297-282.616: government
283.110-283.349: that's
283.349-283.509: the
283.509-283.828: whole
283.828-284.068: that's
284.068-284.307: whole
284.307-284.706: idea
284.706-284.866: behind
284.866-285.105: taking
285.105-285.185: it
285.185-285.425: goes
285.425-285.584: away
285.824-286.324: so
288.458-288.777: so
288.937-289.097: i'm
289.097-289.336: big
289.336-289.496: believer
289.496-289.576: in
289.576-290.076: the
290.135-290.294: constitution
291.332-291.571: big
291.571-291.971: believer
291.971-292.471: in
293.408-293.487: you
293.487-293.647: know
294.844-295.084: what
295.084-295.323: what
295.323-295.403: makes
295.483-295.802: america
295.802-295.962: great
297.015-297.334: and
297.334-297.573: then
297.573-297.813: we
297.813-297.892: we
297.892-298.132: also
298.132-298.291: need
298.371-298.531: like
298.930-299.329: some
299.329-299.488: obvious
299.488-299.568: things
299.728-299.807: like
299.887-300.206: we
300.206-300.286: we
300.286-300.685: need
300.685-301.164: actual
301.164-301.483: secure
301.483-301.802: borders
303.398-303.558: you
303.558-303.717: know
306.590-306.829: it's
306.829-306.989: like
307.468-307.867: you
307.867-307.946: you
307.946-308.026: know
308.186-308.345: you're
308.345-308.425: you're
308.744-308.824: like
308.984-309.143: in
309.143-309.383: you're
309.383-309.542: you're
309.542-309.622: not
309.622-309.941: a
309.941-310.181: country
310.181-310.340: and
310.340-310.500: if
310.500-310.580: if
310.580-310.739: you
310.739-310.899: don't
310.899-311.058: have
311.138-311.218: like
311.298-311.457: a
311.457-311.617: border
311.856-311.936: like
312.096-312.390: it's
312.910-312.990: like
313.149-313.229: what
313.229-313.309: does
313.309-313.549: it
313.549-313.789: even
313.789-314.109: mean
314.109-314.348: to
314.348-314.428: be
314.428-314.668: a
314.668-314.748: country
314.748-314.908: at
314.908-315.068: that
315.068-315.148: point
315.308-315.388: you
315.388-315.468: know
316.427-316.587: and
316.667-316.747: i
316.826-316.986: i
316.986-317.146: went
317.146-317.226: to
317.226-317.306: the
317.306-317.626: border
317.626-317.706: just
317.706-318.105: to
318.105-318.505: see
318.505-318.665: myself
318.665-318.825: or
318.825-318.905: was
318.905-319.065: like
319.145-319.224: and
319.224-319.304: it
319.304-319.384: was
319.384-319.464: like
319.624-319.784: it's
319.784-319.864: like
320.024-320.104: world
320.104-320.344: war
320.344-320.583: e
320.583-320.743: at
320.743-320.903: the
320.903-321.063: border
321.623-321.782: you
321.782-321.862: know
322.022-322.102: like
322.262-322.342: this
322.342-322.502: is
322.502-322.742: crazy
322.902-323.061: man
325.075-325.575: so
325.634-325.794: obviously
326.193-326.273: you
326.273-326.433: know
326.512-326.592: in
326.592-326.832: favor
326.832-327.152: of
327.152-327.391: of
327.391-327.711: of
327.711-328.110: of
328.110-328.350: immigrants
328.350-328.430: that
329.308-329.468: you
329.468-329.548: know
329.628-329.868: the
329.868-330.187: the
330.187-330.427: the
330.427-330.746: insane
330.746-330.986: government
330.986-331.226: spending
331.226-331.465: is
331.465-331.705: is
331.705-332.184: driving
332.184-332.424: country
332.424-332.663: into
332.663-333.143: bankruptcy
334.980-335.480: and
335.938-336.018: you
336.018-336.098: know
336.338-336.418: just
336.418-336.578: like
336.578-336.737: a
336.737-337.057: person
337.057-337.137: if
337.137-337.456: you
337.456-337.696: spend
337.696-337.936: too
337.936-338.175: much
338.509-338.589: you
338.589-338.669: know
338.988-339.067: eventually
339.227-339.307: you
339.307-339.546: go
339.546-339.785: bankrupt
340.343-340.503: the
340.503-340.822: federal
340.822-341.300: debts
341.300-341.699: growing
341.699-341.858: by
341.858-342.098: a
342.098-342.257: a
342.257-342.656: trillion
342.656-342.975: dollars
342.975-343.373: every
343.373-343.613: three
343.613-343.852: months
345.287-345.367: i
345.367-345.446: mean
346.005-346.164: it's
346.802-346.882: i
346.882-346.961: mean
347.121-347.360: our
347.360-347.599: our
347.599-347.839: defense
347.839-348.158: budget
348.158-348.317: is
348.317-348.636: pretty
348.636-349.035: gigantic
349.194-349.354: it's
349.354-349.673: a
349.673-350.071: trillion
350.071-350.310: dollars
350.805-351.125: but
351.125-351.205: our
351.605-351.845: the
351.845-352.245: the
352.245-352.565: interest
352.565-352.885: that
352.885-353.285: that
353.285-353.365: we
353.365-353.525: owe
353.525-353.685: on
353.685-353.845: the
353.845-354.085: debt
354.085-354.165: is
354.165-354.665: now
354.725-355.045: higher
355.045-355.205: than
355.205-355.525: the
355.525-355.765: defense
355.765-356.005: budget
356.405-356.645: over
356.645-356.885: a
356.885-357.205: trillion
357.205-357.525: dollars
357.525-357.765: and
357.765-358.085: growing
358.645-358.805: this
358.805-358.965: is
358.965-359.365: not
359.365-359.765: sustainable
360.965-361.465: so
361.525-361.845: we
361.845-361.925: we
361.925-362.085: have
362.085-362.165: to
362.165-362.325: do
362.325-362.565: something
362.565-362.725: about
362.725-363.045: that
363.045-363.365: or
363.365-363.605: the
363.605-363.685: country
363.685-363.765: is
363.765-364.005: gonna
364.005-364.085: go
364.085-364.325: bankrupt
364.565-364.725: so
364.725-364.965: that
364.965-365.125: that's
365.125-365.365: an
365.365-365.685: essential
365.685-365.845: thing
365.845-366.005: too
368.091-368.250: that
368.250-368.330: you
368.489-368.648: yeah
368.887-369.387: so
370.081-370.240: that's
370.240-370.559: why
370.559-370.718: we
370.718-371.218: need
371.673-371.992: the
371.992-372.492: department
372.549-372.788: of
372.788-373.265: government
373.265-373.584: efficiency
387.149-387.468: d
387.468-387.708: o
387.708-387.947: g
387.947-388.267: e
390.342-390.661: that's
390.661-390.741: oh
390.900-390.980: on
390.980-391.300: a
391.300-391.379: on
391.379-391.619: a
391.619-391.699: on
391.699-391.858: a
391.858-392.257: brass
392.257-392.577: plaque
392.577-392.736: on
392.736-392.896: a
392.896-393.135: desk
395.704-395.863: it's
395.863-396.183: gonna
396.183-396.422: be
396.422-396.821: amazing
400.013-400.513: so
400.891-401.050: you
401.050-401.130: know
401.450-401.769: it's
401.769-401.928: it's
402.327-402.407: yeah
402.806-402.886: like
403.046-403.125: yeah
404.083-404.322: exactly
404.641-404.881: as
405.200-405.360: as
405.360-405.519: people
405.519-405.599: were
405.599-405.679: saying
405.759-405.918: it's
405.918-406.078: just
406.078-406.397: like
406.397-406.477: like
406.557-406.716: it's
406.716-406.956: common
406.956-407.275: and
407.275-407.434: stuff
408.472-408.972: and
409.845-410.084: you
413.042-413.542: it
414.321-414.721: american
414.721-414.881: really
414.881-415.041: just
415.041-415.360: needs
415.360-415.440: it
415.440-415.600: needs
415.600-416.100: to
416.160-416.400: remain
416.400-416.560: the
416.560-416.879: land
416.879-417.119: of
417.119-417.519: of
417.519-418.019: of
418.158-418.398: opportunity
418.558-418.798: the
418.798-419.298: land
419.357-419.757: where
419.917-420.157: you
420.876-421.276: your
421.276-421.436: success
421.436-421.596: is
421.596-421.995: a
421.995-422.235: function
422.235-422.610: of
422.970-423.290: of
423.290-423.449: of
423.449-423.769: how
423.769-423.929: hard
423.929-424.089: you
424.089-424.409: work
424.409-424.888: and
424.888-425.048: and
425.048-425.288: you
425.288-425.528: that
425.528-425.768: your
425.768-425.928: talent
426.168-426.247: like
426.327-426.487: if
426.487-426.647: you're
426.647-426.887: talented
426.887-427.047: and
427.047-427.287: hard
427.287-427.527: working
427.846-428.006: that
428.006-428.166: should
428.166-428.566: be
428.566-428.806: the
428.806-429.046: only
429.046-429.525: thing
429.525-429.925: that
429.925-430.425: determines
430.485-430.724: whether
430.724-430.804: you
430.804-431.204: are
431.204-431.524: successful
432.483-432.723: that's
432.723-432.963: it
434.722-434.881: you
434.881-435.041: know
438.415-438.495: and
438.655-438.975: america's
438.975-439.295: lost
439.295-439.375: supposed
439.375-439.455: to
439.455-439.615: be
439.615-439.775: the
439.775-439.855: land
439.855-440.015: of
440.015-440.255: freedom
440.495-440.655: that
440.655-440.895: means
440.895-441.215: personal
441.215-441.455: freedom
441.615-441.695: like
441.775-441.935: the
441.935-442.095: government
442.095-442.335: should
442.335-442.495: not
442.495-442.815: be
442.815-443.315: imposing
443.535-444.035: all
444.095-444.335: all
444.335-444.575: these
444.575-444.735: rules
444.735-445.135: on
445.135-445.375: on
445.375-445.695: on
445.695-445.935: on
445.935-446.175: on
446.175-446.415: people
446.415-446.655: and
446.655-446.895: and
447.775-447.855: you
447.855-447.935: know
448.095-448.335: it's
448.335-448.575: it's
448.575-448.655: like
450.827-450.907: you
450.907-451.067: know
454.742-454.981: yeah
457.777-458.277: so
458.736-459.056: gov
459.056-459.295: government
459.295-459.535: over
459.535-459.695: each
459.695-459.934: is
459.934-460.174: is
460.174-460.414: is
460.414-460.733: not
460.733-460.893: not
460.893-461.133: cool
463.625-463.865: freedom
463.945-464.265: freedom
464.585-464.665: yeah
464.985-465.065: exactly
465.385-465.625: twitter
465.625-465.705: files
465.865-465.945: i
465.945-466.025: mean
466.105-466.185: it
466.185-466.265: was
466.265-466.425: just
466.425-466.585: nutty
466.745-466.905: you
466.905-467.065: know
468.105-468.345: people
468.345-468.425: don't
468.425-468.665: realize
468.665-468.905: just
468.905-468.985: how
468.985-469.465: much
470.905-471.225: their
471.225-471.725: government
472.025-472.345: involvement
472.345-472.505: there
472.505-472.905: is
472.905-473.225: in
473.225-473.305: in
473.305-473.465: the
473.465-473.705: media
473.705-473.865: and
473.865-473.945: like
474.025-474.185: how
474.185-474.265: much
474.265-474.425: the
474.425-474.825: government
474.825-475.065: influences
475.065-475.225: the
475.225-475.545: media
476.518-476.598: i
476.598-476.677: mean
476.837-476.996: it's
476.996-477.155: it's
477.155-477.554: crazy
477.554-478.032: how
478.192-478.271: you
478.271-478.351: know
478.510-478.670: you'll
478.670-479.170: see
479.706-479.865: like
480.025-480.184: when
480.184-480.344: with
480.344-480.503: it
480.583-480.742: like
481.141-481.300: in
481.300-481.380: fact
481.619-481.699: i
481.778-481.858: i
482.814-482.894: i
482.894-483.054: think
483.133-483.213: like
483.372-483.872: whoever's
484.010-484.329: manipulating
484.329-484.568: the
484.568-484.887: media
484.887-485.126: should
485.126-485.285: mix
485.285-485.445: it
485.445-485.604: up
485.604-485.684: a
485.684-486.082: bit
486.082-486.321: because
486.321-486.481: they're
486.481-486.800: really
486.800-487.198: not
487.198-487.358: doing
487.358-487.597: a
487.597-487.836: great
487.836-488.155: job
490.085-490.245: like
490.405-490.565: you
490.565-490.645: know
491.365-491.845: when
491.845-492.085: when
492.085-492.245: the
492.565-492.965: was
492.965-493.125: a
493.125-493.525: week
493.525-494.025: before
494.245-494.565: the
494.565-495.045: debate
495.285-495.765: was
495.765-496.085: between
496.245-496.485: biden
496.485-496.565: and
496.645-497.045: trump
497.045-497.205: and
497.205-497.605: the
497.605-497.685: like
497.765-498.265: the
498.325-498.565: everyone
498.565-499.065: was
499.125-499.285: on
499.285-499.445: the
499.445-499.685: media
499.685-499.845: was
499.845-500.005: saying
500.085-500.325: biden
500.325-500.565: was
500.565-500.805: shop
500.805-501.125: as
501.125-501.285: attack
501.619-502.119: sharp
502.177-502.257: attack
502.495-502.995: sharp
503.053-503.133: attack
503.372-503.872: sharp
503.930-504.009: attack
504.248-504.748: sharp
504.806-504.886: attack
505.045-505.125: right
505.284-505.443: we're
505.443-505.603: like
506.320-506.479: like
507.036-507.196: you
507.196-507.276: you
507.276-507.435: should
507.435-507.594: mix
507.594-507.753: it
507.753-507.833: up
507.833-507.993: a
507.993-508.152: little
508.391-508.471: get
508.471-508.630: up
508.630-508.789: the
508.789-509.108: soar
511.339-511.498: okay
513.808-514.047: the
514.047-514.127: the
514.366-514.764: nbc
514.764-515.083: media
515.083-515.322: puppets
516.135-516.375: we're
516.375-516.534: we're
516.534-516.854: just
516.854-517.014: all
517.014-517.414: saying
517.414-517.654: exactly
517.654-517.813: the
517.813-518.053: same
518.053-518.213: thing
519.172-519.672: so
521.011-521.171: you
521.171-521.251: know
521.490-521.570: it's
521.570-521.890: just
521.890-521.970: it's
521.970-522.210: just
522.210-522.710: kinda
523.249-523.749: strange
523.889-523.968: that
524.208-524.368: and
524.528-524.608: like
524.768-524.928: do
524.928-525.008: they
525.008-525.088: all
525.088-525.247: just
525.247-525.407: get
525.407-525.567: the
525.567-525.807: same
525.807-526.127: memo
526.127-526.287: at
526.287-526.447: the
526.447-526.686: same
526.686-526.766: time
527.006-527.086: i
527.086-527.246: don't
527.246-527.326: know
527.486-527.566: where
527.566-527.646: is
527.646-527.726: it
528.620-528.779: comment
528.779-528.859: in
529.099-529.419: is
529.419-529.499: on
529.499-529.578: the
529.978-530.058: i
530.058-530.297: wanna
530.297-530.377: see
530.377-530.537: the
530.537-530.777: group
530.777-530.937: text
531.336-531.496: okay
532.135-532.215: like
532.375-532.454: we
533.093-533.173: is
533.173-533.333: there
533.333-533.413: like
533.493-533.812: an
533.812-534.052: email
534.052-534.372: copy
534.372-534.611: list
534.611-534.771: or
534.771-535.011: what
535.730-535.810: you
535.810-535.970: know
536.369-536.689: everyone
536.689-537.189: say
537.408-537.647: the
537.647-537.887: the
537.887-538.047: same
538.047-538.286: thing
538.286-538.366: at
538.366-538.606: the
538.606-538.846: same
538.846-539.085: time
541.402-541.562: yeah
541.801-541.961: just
541.961-542.281: total
542.281-542.520: puppets
544.290-544.450: you'll
544.450-544.769: see
544.769-545.247: next
545.885-546.045: yeah
546.364-546.683: exactly
548.516-548.676: yeah
548.915-549.234: totally
550.032-550.532: so
550.829-550.909: well
550.988-551.068: let's
551.068-551.148: see
551.307-551.387: like
551.786-551.865: you
551.865-551.945: know
552.025-552.184: what
552.184-552.264: what
552.344-552.424: i
552.424-552.583: think
552.583-552.663: what
552.822-552.902: i
552.902-553.061: find
553.061-553.221: is
553.221-553.460: is
553.460-553.779: really
553.779-554.018: engaging
554.018-554.178: is
554.178-554.417: when
554.417-554.497: people
554.497-554.656: are
554.656-554.895: able
554.895-555.214: to
555.693-555.932: ask
555.932-556.251: questions
556.251-556.410: or
556.410-556.570: make
556.570-556.889: comments
557.208-557.708: and
558.260-558.760: so
559.700-559.860: if
559.860-560.360: you
560.420-560.660: anybody
560.660-560.900: wants
560.900-561.060: to
563.860-563.940: you
563.940-564.020: know
564.500-564.740: try
564.740-564.820: try
564.820-564.980: to
564.980-565.220: keep
565.220-565.300: try
565.300-565.380: to
565.380-565.540: keep
565.540-565.700: the
565.700-565.860: comments
566.020-566.100: like
566.580-566.740: we're
566.740-567.240: reasonably
567.380-567.620: short
569.300-569.800: if
570.835-571.234: any
571.234-571.474: any
571.474-571.974: monologue
572.034-572.193: should
572.193-572.593: be
572.593-572.833: ideally
572.833-572.993: kept
